Date;Time of day;Biomass[MWh];Hydropower[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other renewable[MWh];Nuclear[MWh];Fossil brown coal[MWh];Fossil hard coal[MWh];Fossil gas[MWh];Hydro pumped storage[MWh];Other conventional[MWh]
Jan 1, 2020;12:00 AM;1,216;344;120;1,477;0;50;2,024;2,320;496;1,269;266;335
Jan 1, 2020;12:15 AM;1,218;340;121;1,475;0;49;2,021;2,326;487;1,238;127;335
Jan 1, 2020;12:30 AM;1,215;339;131;1,529;0;49;2,021;2,334;486;1,214;102;336
Jan 1, 2020;12:45 AM;1,213;338;160;1,561;0;49;2,020;2,337;493;1,196;53;335
Jan 1, 2020;1:00 AM;1,213;344;220;1,516;0;49;2,023;2,352;484;1,147;23;335
Jan 1, 2020;1:15 AM;1,208;339;287;1,431;0;49;2,022;2,356;460;1,145;20;335
Jan 1, 2020;1:30 AM;1,211;338;311;1,438;0;49;2,023;2,355;440;1,134;17;334
Jan 1, 2020;1:45 AM;1,212;338;343;1,444;0;49;2,022;2,356;441;1,117;14;329
Jan 1, 2020;2:00 AM;1,212;355;382;1,438;0;49;2,024;2,364;449;1,091;86;329
Jan 1, 2020;2:15 AM;1,210;342;414;1,425;0;49;2,023;2,351;448;1,090;75;332
Jan 1, 2020;2:30 AM;1,211;344;420;1,435;0;49;2,020;2,350;448;1,090;45;332
Jan 1, 2020;2:45 AM;1,209;344;444;1,415;0;49;2,017;2,361;454;1,098;12;332
Jan 1, 2020;3:00 AM;1,212;358;474;1,368;0;50;2,021;2,373;474;1,097;19;330
Jan 1, 2020;3:15 AM;1,210;342;517;1,334;0;50;2,019;2,374;476;1,098;12;332
Jan 1, 2020;3:30 AM;1,213;342;529;1,334;0;50;2,018;2,373;476;1,099;12;332
Jan 1, 2020;3:45 AM;1,209;339;538;1,355;0;50;2,016;2,378;474;1,095;11;335
Jan 1, 2020;4:00 AM;1,209;339;562;1,349;0;50;2,019;2,387;477;1,074;15;334
Jan 1, 2020;4:15 AM;1,208;332;583;1,330;0;50;2,019;2,383;480;1,072;28;336
Jan 1, 2020;4:30 AM;1,207;331;579;1,357;0;50;2,018;2,393;480;1,072;19;336
Jan 1, 2020;4:45 AM;1,208;331;568;1,372;0;50;2,018;2,388;486;1,076;19;336
Jan 1, 2020;5:00 AM;1,207;331;563;1,372;0;50;2,018;2,372;491;1,085;27;336
Jan 1, 2020;5:15 AM;1,209;331;551;1,371;0;50;2,017;2,365;497;1,085;21;336
Jan 1, 2020;5:30 AM;1,206;331;533;1,401;0;50;2,018;2,370;499;1,093;29;336
Jan 1, 2020;5:45 AM;1,205;332;513;1,402;0;50;2,018;2,361;498;1,094;43;335
Jan 1, 2020;6:00 AM;1,207;335;484;1,412;0;50;2,019;2,363;498;1,098;73;335
Jan 1, 2020;6:15 AM;1,202;334;471;1,374;0;50;2,018;2,350;501;1,105;62;337
Jan 1, 2020;6:30 AM;1,204;335;486;1,357;0;50;2,018;2,326;502;1,100;81;336
Jan 1, 2020;6:45 AM;1,203;335;501;1,335;0;50;2,021;2,300;507;1,111;122;337
Jan 1, 2020;7:00 AM;1,211;335;521;1,326;0;50;2,024;2,302;504;1,146;66;336
Jan 1, 2020;7:15 AM;1,209;337;533;1,316;0;50;2,025;2,309;504;1,141;135;334
Jan 1, 2020;7:30 AM;1,210;333;541;1,279;0;50;2,021;2,320;502;1,152;123;336
Jan 1, 2020;7:45 AM;1,209;329;557;1,253;0;50;2,023;2,392;503;1,158;107;337
Jan 1, 2020;8:00 AM;1,212;329;560;1,236;2;50;2,024;2,440;510;1,157;54;337
Jan 1, 2020;8:15 AM;1,211;328;565;1,253;26;50;2,025;2,453;512;1,171;34;336
