Date;Time of day;Germany/Luxembourg[€/MWh];Denmark 1[€/MWh];Denmark 2[€/MWh];France[€/MWh];Northern Italy[€/MWh];Netherlands[€/MWh];Poland[€/MWh];Sweden 4[€/MWh];Switzerland[€/MWh];Slovenia[€/MWh];Czech Republic[€/MWh];Hungary[€/MWh];Austria[€/MWh];Germany/Austria/Luxembourg[€/MWh]
Jan 1, 2020;12:00 AM;41.88;33.42;33.42;41.88;-;41.88;34.95;28.78;35.42;41.88;33.2;33.55;41.88;-
Jan 1, 2020;1:00 AM;38.6;31.77;31.77;38.6;-;38.6;34.67;28.45;34.04;38.6;30.4;30.4;38.6;-
Jan 1, 2020;2:00 AM;36.55;31.57;31.57;36.55;-;36.55;33.3;27.9;31.52;36.55;28.53;28.53;36.55;-
Jan 1, 2020;3:00 AM;32.32;31.28;31.28;32.32;-;32.32;31.91;27.52;28.29;32.32;27.37;27.37;32.32;-
Jan 1, 2020;4:00 AM;30.85;30.85;30.85;30.85;-;30.85;27.54;27.54;26.92;30.85;26.38;26.38;30.85;-
Jan 1, 2020;5:00 AM;30.14;30.14;30.14;30.14;-;30.14;26.62;26.55;26.96;30.14;26.5;26.5;30.14;-
Jan 1, 2020;6:00 AM;30.17;30.17;30.17;30.17;-;30.17;25.83;25.83;27.91;30.17;27.01;27.01;30.17;-
Jan 1, 2020;7:00 AM;30;30;30;30;-;30;26.02;25.07;27.63;30;27.4;27.4;30;-
Jan 1, 2020;8:00 AM;30.65;30.63;30.63;30.65;-;30.65;26.99;25.65;27.03;30.65;27.99;27.99;30.65;-
Jan 1, 2020;9:00 AM;30.65;30.59;30.59;30.65;-;30.65;31.4;26.15;27.96;30.65;27.71;27.71;30.65;-
Jan 1, 2020;10:00 AM;30.27;30.27;30.27;30.27;-;30.27;34.23;26.77;28.09;30.27;28.4;28.4;30.27;-
Jan 1, 2020;11:00 AM;30.34;30.34;30.34;30.34;-;30.34;35.04;27.4;27.36;30.34;28.98;28.98;30.34;-
Jan 1, 2020;12:00 PM;30.99;30.59;30.59;30.99;-;30.99;36.1;28.08;28.34;30.99;29.5;29.5;30.99;-
Jan 1, 2020;1:00 PM;30.04;30.04;30.04;30.04;-;30.04;36.66;28.69;27.21;30.04;29.43;29.43;30.04;-
Jan 1, 2020;2:00 PM;30.75;30.6;30.6;30.75;-;30.75;36.6;29.37;28.01;30.75;30.51;30.51;30.75;-
Jan 1, 2020;3:00 PM;32.11;31.09;31.09;32.11;-;32.11;33.26;29.97;31.09;32.11;33.32;33.32;32.11;-
Jan 1, 2020;4:00 PM;35.98;31.53;31.53;35.98;-;35.98;35.28;30.46;34.65;35.98;38.11;38.11;35.98;-
Jan 1, 2020;5:00 PM;40.4;31.78;31.78;40.4;-;40.4;36.79;30.39;40.23;40.4;41.24;41.24;40.4;-
Jan 1, 2020;6:00 PM;44.05;31.64;31.64;44.05;-;44.05;36.25;30.06;41.01;44.05;42.66;42.66;44.05;-
Jan 1, 2020;7:00 PM;43.15;31.44;31.44;46.16;-;38.69;37.67;29.38;41.14;44.04;42.08;42.08;44.04;-
Jan 1, 2020;8:00 PM;43.45;31.35;31.35;44.02;-;42.62;36.71;27.65;39.63;47.38;39.51;39.51;43.62;-
Jan 1, 2020;9:00 PM;40.68;31.07;31.07;40.68;-;40.68;36.78;27.33;35.96;42.08;37.5;37.5;40.68;-
Jan 1, 2020;10:00 PM;40.27;30.96;30.96;40.66;-;39.68;37.26;25.88;35.32;40.66;35.6;35.6;40.38;-
Jan 1, 2020;11:00 PM;34.85;30.61;30.61;36.69;-;31.47;35.3;24.81;31.85;35.34;31.6;31.6;35.34;-
Jan 2, 2020;12:00 AM;35.4;30.78;30.78;35.4;-;35.4;33.31;12.07;33.57;35.4;32.01;32.01;35.4;-
Jan 2, 2020;1:00 AM;31.98;30.64;30.64;31.98;-;31.98;30.71;13.13;31.7;31.98;31.5;31.5;31.98;-
Jan 2, 2020;2:00 AM;30.5;30.43;30.43;30.5;-;30.5;28.1;19.07;30.79;30.5;29.66;29.66;30.5;-
