Date;Time of day;Total[MWh]
Jan 1, 2020;12:00 AM;11,554
Jan 1, 2020;12:15 AM;11,426
Jan 1, 2020;12:30 AM;11,307
Jan 1, 2020;12:45 AM;11,186
Jan 1, 2020;1:00 AM;10,979
Jan 1, 2020;1:15 AM;10,943
Jan 1, 2020;1:30 AM;10,817
Jan 1, 2020;1:45 AM;10,734
Jan 1, 2020;2:00 AM;10,680
Jan 1, 2020;2:15 AM;10,645
Jan 1, 2020;2:30 AM;10,623
Jan 1, 2020;2:45 AM;10,609
Jan 1, 2020;3:00 AM;10,614
Jan 1, 2020;3:15 AM;10,629
Jan 1, 2020;3:30 AM;10,609
Jan 1, 2020;3:45 AM;10,597
Jan 1, 2020;4:00 AM;10,620
Jan 1, 2020;4:15 AM;10,647
Jan 1, 2020;4:30 AM;10,642
Jan 1, 2020;4:45 AM;10,659
Jan 1, 2020;5:00 AM;10,663
Jan 1, 2020;5:15 AM;10,593
Jan 1, 2020;5:30 AM;10,519
Jan 1, 2020;5:45 AM;10,434
Jan 1, 2020;6:00 AM;10,198
Jan 1, 2020;6:15 AM;10,154
Jan 1, 2020;6:30 AM;10,150
Jan 1, 2020;6:45 AM;10,174
Jan 1, 2020;7:00 AM;10,238
Jan 1, 2020;7:15 AM;10,337
Jan 1, 2020;7:30 AM;10,567
Jan 1, 2020;7:45 AM;10,779
Jan 1, 2020;8:00 AM;10,960
Jan 1, 2020;8:15 AM;11,123
Jan 1, 2020;8:30 AM;11,185
Jan 1, 2020;8:45 AM;11,277
Jan 1, 2020;9:00 AM;11,603
Jan 1, 2020;9:15 AM;11,833
Jan 1, 2020;9:30 AM;11,946
Jan 1, 2020;9:45 AM;11,975
Jan 1, 2020;10:00 AM;12,160
Jan 1, 2020;10:15 AM;12,283
Jan 1, 2020;10:30 AM;12,356
Jan 1, 2020;10:45 AM;12,466
Jan 1, 2020;11:00 AM;12,606
Jan 1, 2020;11:15 AM;12,713
Jan 1, 2020;11:30 AM;12,845
Jan 1, 2020;11:45 AM;12,896
Jan 1, 2020;12:00 PM;12,868
