Date;Time of day;Total[MWh]
Jan 1, 2018;12:00 AM;10,559.25
Jan 1, 2018;12:15 AM;10,364
Jan 1, 2018;12:30 AM;10,252.25
Jan 1, 2018;12:45 AM;10,130.25
Jan 1, 2018;1:00 AM;10,008.5
Jan 1, 2018;1:15 AM;9,903.75
Jan 1, 2018;1:30 AM;9,805.25
Jan 1, 2018;1:45 AM;9,741.5
Jan 1, 2018;2:00 AM;9,650
Jan 1, 2018;2:15 AM;9,621.5
Jan 1, 2018;2:30 AM;9,591.5
Jan 1, 2018;2:45 AM;9,573.75
Jan 1, 2018;3:00 AM;9,551
Jan 1, 2018;3:15 AM;9,557.75
Jan 1, 2018;3:30 AM;9,568.25
Jan 1, 2018;3:45 AM;9,583.75
Jan 1, 2018;4:00 AM;9,618.75
Jan 1, 2018;4:15 AM;9,643.5
Jan 1, 2018;4:30 AM;9,657.25
Jan 1, 2018;4:45 AM;9,642.5
Jan 1, 2018;5:00 AM;9,727.75
Jan 1, 2018;5:15 AM;9,676.75
Jan 1, 2018;5:30 AM;9,672.5
Jan 1, 2018;5:45 AM;9,591.5
Jan 1, 2018;6:00 AM;9,400.75
Jan 1, 2018;6:15 AM;9,467.5
Jan 1, 2018;6:30 AM;9,456
Jan 1, 2018;6:45 AM;9,520.5
Jan 1, 2018;7:00 AM;9,608.5
Jan 1, 2018;7:15 AM;9,717.25
Jan 1, 2018;7:30 AM;9,905
Jan 1, 2018;7:45 AM;10,174.5
Jan 1, 2018;8:00 AM;10,390.25
Jan 1, 2018;8:15 AM;10,518.75
Jan 1, 2018;8:30 AM;10,660.75
Jan 1, 2018;8:45 AM;10,813.5
Jan 1, 2018;9:00 AM;11,078
Jan 1, 2018;9:15 AM;11,299.25
Jan 1, 2018;9:30 AM;11,399.75
Jan 1, 2018;9:45 AM;11,521.75
Jan 1, 2018;10:00 AM;11,729.25
Jan 1, 2018;10:15 AM;11,930.75
Jan 1, 2018;10:30 AM;12,054.5
Jan 1, 2018;10:45 AM;12,211
Jan 1, 2018;11:00 AM;12,396.75
Jan 1, 2018;11:15 AM;12,556.25
Jan 1, 2018;11:30 AM;12,713
Jan 1, 2018;11:45 AM;12,955.75
Jan 1, 2018;12:00 PM;12,766
Jan 1, 2018;12:15 PM;12,737
Jan 1, 2018;12:30 PM;12,665
Jan 1, 2018;12:45 PM;12,549.25
Jan 1, 2018;1:00 PM;12,461.25
Jan 1, 2018;1:15 PM;12,295.5
Jan 1, 2018;1:30 PM;12,179.5
Jan 1, 2018;1:45 PM;12,047.75
Jan 1, 2018;2:00 PM;11,945.5
Jan 1, 2018;2:15 PM;11,823.75
Jan 1, 2018;2:30 PM;11,799.75
Jan 1, 2018;2:45 PM;11,783.25
Jan 1, 2018;3:00 PM;11,706.25
Jan 1, 2018;3:15 PM;11,743.75
Jan 1, 2018;3:30 PM;11,799.25
Jan 1, 2018;3:45 PM;11,799
Jan 1, 2018;4:00 PM;11,942.25
Jan 1, 2018;4:15 PM;11,996
Jan 1, 2018;4:30 PM;12,017
Jan 1, 2018;4:45 PM;12,459.5
Jan 1, 2018;5:00 PM;12,817.25
Jan 1, 2018;5:15 PM;13,019
Jan 1, 2018;5:30 PM;13,174
Jan 1, 2018;5:45 PM;13,244.75
Jan 1, 2018;6:00 PM;13,359.25
Jan 1, 2018;6:15 PM;13,377.25
Jan 1, 2018;6:30 PM;13,347
Jan 1, 2018;6:45 PM;13,300.5
Jan 1, 2018;7:00 PM;13,261.75
Jan 1, 2018;7:15 PM;13,143.5
Jan 1, 2018;7:30 PM;13,067.25
Jan 1, 2018;7:45 PM;13,024
Jan 1, 2018;8:00 PM;12,851.5
Jan 1, 2018;8:15 PM;12,665.25
