DateTime,Demand(MWh),Wind prod(MWh),solar_prod(MWh),Price(€/MWh),Hour_,isWeekday_Saturday,isWeekday_Sunday,isWeekday_Weekday,Time of day_Day Time,Time of day_Night Time
2018-01-01 00:00:00,41305.75,32591.445000000003,0.0,-5.27,0.0,0,0,1,0,1
2018-01-01 01:00:00,39459.0,35791.755000000005,0.0,-29.99,1.0,0,0,1,0,1
2018-01-01 02:00:00,38436.75,39235.700000000004,0.0,-56.65,2.0,0,0,1,0,1
2018-01-01 03:00:00,38260.75,41785.18,0.0,-63.14,3.0,0,0,1,0,1
2018-01-01 04:00:00,38562.0,43032.115,0.0,-64.62,4.0,0,0,1,0,1
2018-01-01 05:00:00,38668.5,43735.27,0.0,-67.0,5.0,0,0,1,0,1
2018-01-01 06:00:00,37844.75,44264.075000000004,0.0,-72.54,6.0,0,0,1,1,0
2018-01-01 07:00:00,39405.25,44097.545,180.92000000000002,-76.01,7.0,0,0,1,1,0
2018-01-01 08:00:00,42383.25,43157.285,2397.19,-71.45,8.0,0,0,1,1,0
2018-01-01 09:00:00,45298.75,42410.545,5246.68,-66.88,9.0,0,0,1,1,0
2018-01-01 10:00:00,47925.5,42364.075,7327.26,-62.0,10.0,0,0,1,1,0
2018-01-01 11:00:00,50621.75,41468.01,8684.16,-56.08,11.0,0,0,1,1,0
2018-01-01 12:00:00,50717.25,38140.5,8277.09,-49.96,12.0,0,0,1,1,0
2018-01-01 13:00:00,48984.0,33068.405,5698.9800000000005,-24.29,13.0,0,0,1,1,0
2018-01-01 14:00:00,47352.25,28396.444999999996,1854.43,-5.59,14.0,0,0,1,1,0
2018-01-01 15:00:00,47048.25,25287.81,0.0,0.23,15.0,0,0,1,1,0
2018-01-01 16:00:00,48414.75,22766.96,0.0,11.02,16.0,0,0,1,1,0
2018-01-01 17:00:00,52255.0,20542.684999999998,0.0,23.5,17.0,0,0,1,1,0
2018-01-01 18:00:00,53384.0,18386.985,0.0,22.91,18.0,0,0,1,1,0
2018-01-01 19:00:00,52496.5,16739.675,0.0,21.02,19.0,0,0,1,0,1
2018-01-01 20:00:00,50435.75,16122.82,0.0,21.05,20.0,0,0,1,0,1
2018-01-01 21:00:00,48988.75,15198.349999999999,0.0,21.95,21.0,0,0,1,0,1
2018-01-01 22:00:00,48113.25,13749.815,0.0,23.52,22.0,0,0,1,0,1
2018-01-01 23:00:00,45366.5,12574.69,0.0,18.96,23.0,0,0,1,0,1
2018-01-02 00:00:00,43762.75,11887.91,0.0,18.12,0.0,0,0,1,0,1
2018-01-02 01:00:00,42480.0,10890.785,0.0,14.99,1.0,0,0,1,0,1
2018-01-02 02:00:00,41761.0,10367.005,0.0,13.63,2.0,0,0,1,0,1
2018-01-02 03:00:00,41971.25,10891.005000000001,0.0,12.15,3.0,0,0,1,0,1
2018-01-02 04:00:00,43276.5,12004.470000000001,0.0,11.83,4.0,0,0,1,0,1
2018-01-02 05:00:00,46475.75,13477.98,0.0,14.55,5.0,0,0,1,0,1
2018-01-02 06:00:00,53659.0,14218.255,0.0,22.58,6.0,0,0,1,1,0
2018-01-02 07:00:00,59404.25,13658.494999999999,45.230000000000004,41.92,7.0,0,0,1,1,0
2018-01-02 08:00:00,62322.25,12307.365,768.9100000000001,47.95,8.0,0,0,1,1,0
2018-01-02 09:00:00,62990.0,11699.66,2035.35,49.9,9.0,0,0,1,1,0
2018-01-02 10:00:00,64601.25,12504.43,3482.71,50.0,10.0,0,0,1,1,0
2018-01-02 11:00:00,65692.5,13264.785,4658.69,49.7,11.0,0,0,1,1,0
2018-01-02 12:00:00,65598.75,12791.32,4568.2300000000005,48.16,12.0,0,0,1,1,0
2018-01-02 13:00:00,65041.5,12706.975,3211.33,47.24,13.0,0,0,1,1,0
2018-01-02 14:00:00,63859.5,14212.415,1085.52,46.1,14.0,0,0,1,1,0
2018-01-02 15:00:00,63510.0,15386.695000000002,0.0,43.86,15.0,0,0,1,1,0
2018-01-02 16:00:00,64202.0,15628.710000000001,0.0,43.64,16.0,0,0,1,1,0
2018-01-02 17:00:00,65300.5,16134.42,0.0,47.37,17.0,0,0,1,1,0
2018-01-02 18:00:00,65181.5,16933.805,0.0,46.08,18.0,0,0,1,1,0
2018-01-02 19:00:00,63779.5,18028.19,0.0,41.08,19.0,0,0,1,0,1
2018-01-02 20:00:00,60152.0,20635.050000000003,0.0,34.94,20.0,0,0,1,0,1
2018-01-02 21:00:00,57151.25,23288.185,0.0,25.46,21.0,0,0,1,0,1
2018-01-02 22:00:00,54456.75,25048.675,0.0,21.3,22.0,0,0,1,0,1
2018-01-02 23:00:00,50131.25,27420.04,0.0,9.94,23.0,0,0,1,0,1
2018-01-03 00:00:00,48067.25,29592.72,0.0,7.93,0.0,0,0,1,0,1
2018-01-03 01:00:00,45974.25,32390.395000000004,0.0,0.03,1.0,0,0,1,0,1
2018-01-03 02:00:00,45102.5,36669.17,0.0,0.02,2.0,0,0,1,0,1
2018-01-03 03:00:00,45135.75,41600.030000000006,0.0,-5.99,3.0,0,0,1,0,1
2018-01-03 04:00:00,46090.5,44320.354999999996,0.0,-9.21,4.0,0,0,1,0,1
2018-01-03 05:00:00,48724.75,46463.415,0.0,-4.64,5.0,0,0,1,0,1
2018-01-03 06:00:00,54289.75,48469.835,0.0,8.02,6.0,0,0,1,1,0
2018-01-03 07:00:00,60427.25,49103.74,45.230000000000004,11.03,7.0,0,0,1,1,0
2018-01-03 08:00:00,63986.25,47843.58500000001,814.14,13.28,8.0,0,0,1,1,0
2018-01-03 09:00:00,64729.75,46730.774999999994,2442.42,13.18,9.0,0,0,1,1,0
2018-01-03 10:00:00,65818.75,45828.505,3708.86,13.71,10.0,0,0,1,1,0
2018-01-03 11:00:00,66739.5,45155.744999999995,4342.08,15.42,11.0,0,0,1,1,0
2018-01-03 12:00:00,66726.0,44582.854999999996,3754.09,15.84,12.0,0,0,1,1,0
2018-01-03 13:00:00,66276.75,44020.33,2035.35,16.0,13.0,0,0,1,1,0
2018-01-03 14:00:00,65172.0,44645.219999999994,497.53,15.75,14.0,0,0,1,1,0
2018-01-03 15:00:00,64982.75,46879.665,0.0,15.14,15.0,0,0,1,1,0
2018-01-03 16:00:00,65807.25,48703.450000000004,0.0,16.0,16.0,0,0,1,1,0
2018-01-03 17:00:00,67241.0,50057.49500000001,0.0,15.11,17.0,0,0,1,1,0
2018-01-03 18:00:00,67123.0,50655.19,0.0,13.37,18.0,0,0,1,1,0
2018-01-03 19:00:00,65677.75,50842.39,0.0,11.06,19.0,0,0,1,0,1
2018-01-03 20:00:00,61654.0,50651.825000000004,0.0,10.06,20.0,0,0,1,0,1
2018-01-03 21:00:00,58648.5,50289.455,0.0,9.3,21.0,0,0,1,0,1
2018-01-03 22:00:00,56459.25,49339.99,0.0,9.87,22.0,0,0,1,0,1
2018-01-03 23:00:00,52106.75,48056.909999999996,0.0,4.97,23.0,0,0,1,0,1
2018-01-04 00:00:00,48687.5,46483.47000000001,0.0,-0.36,0.0,0,0,1,0,1
2018-01-04 01:00:00,46503.5,43922.9,0.0,-5.57,1.0,0,0,1,0,1
2018-01-04 02:00:00,45695.75,41310.49999999999,0.0,-7.85,2.0,0,0,1,0,1
2018-01-04 03:00:00,45835.75,38954.6,0.0,-5.29,3.0,0,0,1,0,1
2018-01-04 04:00:00,46857.0,36265.86,0.0,-1.75,4.0,0,0,1,0,1
2018-01-04 05:00:00,49731.25,33085.54,0.0,6.01,5.0,0,0,1,0,1
2018-01-04 06:00:00,55731.75,29580.325,0.0,19.96,6.0,0,0,1,1,0
2018-01-04 07:00:00,60550.25,25976.25,45.230000000000004,33.59,7.0,0,0,1,1,0
2018-01-04 08:00:00,63075.5,22850.965,678.4499999999999,40.45,8.0,0,0,1,1,0
2018-01-04 09:00:00,64352.75,20024.065,1763.97,41.97,9.0,0,0,1,1,0
2018-01-04 10:00:00,65184.5,17706.99,2532.88,44.91,10.0,0,0,1,1,0
2018-01-04 11:00:00,66394.5,16520.79,2939.9500000000003,48.22,11.0,0,0,1,1,0
2018-01-04 12:00:00,66465.0,14768.945000000002,2713.7999999999997,46.04,12.0,0,0,1,1,0
2018-01-04 13:00:00,65727.75,12979.825,1583.0500000000002,42.0,13.0,0,0,1,1,0
2018-01-04 14:00:00,64551.0,12813.41,271.38,41.08,14.0,0,0,1,1,0
2018-01-04 15:00:00,64235.25,13576.094999999998,0.0,42.04,15.0,0,0,1,1,0
2018-01-04 16:00:00,64926.0,14564.529999999999,0.0,42.53,16.0,0,0,1,1,0
2018-01-04 17:00:00,67117.25,16406.835,0.0,51.43,17.0,0,0,1,1,0
2018-01-04 18:00:00,66834.0,18456.579999999998,0.0,49.96,18.0,0,0,1,1,0
2018-01-04 19:00:00,65477.5,20378.164999999997,0.0,46.73,19.0,0,0,1,0,1
2018-01-04 20:00:00,61589.75,22756.955,0.0,41.57,20.0,0,0,1,0,1
2018-01-04 21:00:00,58761.0,26444.975000000002,0.0,37.09,21.0,0,0,1,0,1
2018-01-04 22:00:00,56693.5,30834.055,0.0,33.92,22.0,0,0,1,0,1
2018-01-04 23:00:00,52512.0,34852.475,0.0,28.05,23.0,0,0,1,0,1
2018-01-05 00:00:00,50753.5,38318.84,0.0,5.96,0.0,0,0,1,0,1
2018-01-05 01:00:00,48591.75,40537.545,0.0,-0.94,1.0,0,0,1,0,1
2018-01-05 02:00:00,47677.75,42388.17,0.0,-0.03,2.0,0,0,1,0,1
2018-01-05 03:00:00,47680.25,42268.01,0.0,0.55,3.0,0,0,1,0,1
2018-01-05 04:00:00,48621.0,41141.19,0.0,-11.81,4.0,0,0,1,0,1
2018-01-05 05:00:00,50792.5,39804.695,0.0,8.92,5.0,0,0,1,0,1
2018-01-05 06:00:00,55524.75,38303.185,0.0,21.68,6.0,0,0,1,1,0
2018-01-05 07:00:00,61033.25,35669.02,180.92000000000002,30.44,7.0,0,0,1,1,0
2018-01-05 08:00:00,64197.75,32023.990000000005,1673.51,36.2,8.0,0,0,1,1,0
2018-01-05 09:00:00,65296.5,27798.155000000002,3527.94,36.3,9.0,0,0,1,1,0
2018-01-05 10:00:00,66259.25,23820.455,4749.15,38.95,10.0,0,0,1,1,0
2018-01-05 11:00:00,67236.0,20870.38,4930.07,39.4,11.0,0,0,1,1,0
2018-01-05 12:00:00,66779.75,17619.215,4070.7,41.69,12.0,0,0,1,1,0
