DateTime,Demand(MWh),Wind prod(MWh),solar_prod(MWh),Price(€/MWh),Hour_,isWeekday_Saturday,isWeekday_Sunday,isWeekday_Weekday,Time of day_Day Time,Time of day_Night Time
2020-01-01 00:00:00,45473.0,6574.0,0,41.88,0.0,0,0,1,0,1
2020-01-01 01:00:00,43473.0,6990.0,0,38.6,1.0,0,0,1,0,1
2020-01-01 02:00:00,42557.0,7373.0,0,36.55,2.0,0,0,1,0,1
2020-01-01 03:00:00,42449.0,7449.0,0,32.32,3.0,0,0,1,0,1
2020-01-01 04:00:00,42568.0,7700.0,0,30.85,4.0,0,0,1,0,1
2020-01-01 05:00:00,42209.0,7706.0,0,30.14,5.0,0,0,1,0,1
2020-01-01 06:00:00,40676.0,7420.0,0,30.17,6.0,0,0,1,1,0
2020-01-01 07:00:00,41921.0,7326.0,0,30.0,7.0,0,0,1,1,0
2020-01-01 08:00:00,44545.0,7258.0,376,30.65,8.0,0,0,1,1,0
2020-01-01 09:00:00,47357.0,7306.0,3109,30.65,9.0,0,0,1,1,0
2020-01-01 10:00:00,49265.0,7262.0,6771,30.27,10.0,0,0,1,1,0
2020-01-01 11:00:00,51060.0,7172.0,9710,30.34,11.0,0,0,1,1,0
2020-01-01 12:00:00,51058.0,7247.0,11066,30.99,12.0,0,0,1,1,0
2020-01-01 13:00:00,49682.0,7771.0,10177,30.04,13.0,0,0,1,1,0
2020-01-01 14:00:00,48678.0,7333.0,7026,30.75,14.0,0,0,1,1,0
2020-01-01 15:00:00,48706.0,7174.0,2536,32.11,15.0,0,0,1,1,0
2020-01-01 16:00:00,49848.0,8340.0,123,35.98,16.0,0,0,1,1,0
2020-01-01 17:00:00,53011.0,10376.0,0,40.4,17.0,0,0,1,1,0
2020-01-01 18:00:00,54401.0,12281.0,0,44.05,18.0,0,0,1,1,0
2020-01-01 19:00:00,53892.0,13435.0,0,43.15,19.0,0,0,1,0,1
2020-01-01 20:00:00,52232.0,13883.0,0,43.45,20.0,0,0,1,0,1
2020-01-01 21:00:00,50898.0,14008.0,0,40.68,21.0,0,0,1,0,1
2020-01-01 22:00:00,50286.0,12695.0,0,40.27,22.0,0,0,1,0,1
2020-01-01 23:00:00,47592.0,12244.0,0,34.85,23.0,0,0,1,0,1
